review,sentiment,processed_review,sentiment_score,predicted_sentiment
"One of the other reviewers has mentioned that after watching just 1 Oz episode you'll be hooked. They are right, as this is exactly what happened with me.<br /><br />The first thing that struck me about Oz was its brutality and unflinching scenes of violence, which set in right from the word GO. Trust me, this is not a show for the faint hearted or timid. This show pulls no punches with regards to drugs, sex or violence. Its is hardcore, in the classic use of the word.<br /><br />It is called OZ as that is the nickname given to the Oswald Maximum Security State Penitentary. It focuses mainly on Emerald City, an experimental section of the prison where all the cells have glass fronts and face inwards, so privacy is not high on the agenda. Em City is home to many..Aryans, Muslims, gangstas, Latinos, Christians, Italians, Irish and more....so scuffles, death stares, dodgy dealings and shady agreements are never far away.<br /><br />I would say the main appeal of the show is due to the fact that it goes where other shows wouldn't dare. Forget pretty pictures painted for mainstream audiences, forget charm, forget romance...OZ doesn't mess around. The first episode I ever saw struck me as so nasty it was surreal, I couldn't say I was ready for it, but as I watched more, I developed a taste for Oz, and got accustomed to the high levels of graphic violence. Not just violence, but injustice (crooked guards who'll be sold out for a nickel, inmates who'll kill on order and get away with it, well mannered, middle class inmates being turned into prison bitches due to their lack of street skills or prison experience) Watching Oz, you may become comfortable with what is uncomfortable viewing....thats if you can get in touch with your darker side.",positive,"one of the other review ha mention that after watch just 1 oz episod you 'll be hook . they are right , as thi is exactli what happen with me. < br / > < br / > the first thing that struck me about oz wa it brutal and unflinch scene of violenc , which set in right from the word go . trust me , thi is not a show for the faint heart or timid . thi show pull no punch with regard to drug , sex or violenc . it is hardcor , in the classic use of the word. < br / > < br / > it is call oz as that is the nicknam given to the oswald maximum secur state penitentari . it focus mainli on emerald citi , an experiment section of the prison where all the cell have glass front and face inward , so privaci is not high on the agenda . em citi is home to mani .. aryan , muslim , gangsta , latino , christian , italian , irish and more .... so scuffl , death stare , dodgi deal and shadi agreement are never far away. < br / > < br / > i would say the main appeal of the show is due to the fact that it goe where other show would n't dare . forget pretti pictur paint for mainstream audienc , forget charm , forget romanc ... oz doe n't mess around . the first episod i ever saw struck me as so nasti it wa surreal , i could n't say i wa readi for it , but as i watch more , i develop a tast for oz , and got accustom to the high level of graphic violenc . not just violenc , but injustic ( crook guard who 'll be sold out for a nickel , inmat who 'll kill on order and get away with it , well manner , middl class inmat be turn into prison bitch due to their lack of street skill or prison experi ) watch oz , you may becom comfort with what is uncomfort view .... that if you can get in touch with your darker side .",-0.971,negative
"A wonderful little production. <br /><br />The filming technique is very unassuming- very old-time-BBC fashion and gives a comforting, and sometimes discomforting, sense of realism to the entire piece. <br /><br />The actors are extremely well chosen- Michael Sheen not only ""has got all the polari"" but he has all the voices down pat too! You can truly see the seamless editing guided by the references to Williams' diary entries, not only is it well worth the watching but it is a terrificly written and performed piece. A masterful production about one of the great master's of comedy and his life. <br /><br />The realism really comes home with the little things: the fantasy of the guard which, rather than use the traditional 'dream' techniques remains solid then disappears. It plays on our knowledge and our senses, particularly with the scenes concerning Orton and Halliwell and the sets (particularly of their flat with Halliwell's murals decorating every surface) are terribly well done.",positive,"a wonder littl product . < br / > < br / > the film techniqu is veri unassuming- veri old-time-bbc fashion and give a comfort , and sometim discomfort , sens of realism to the entir piec . < br / > < br / > the actor are extrem well chosen- michael sheen not onli `` ha got all the polari '' but he ha all the voic down pat too ! you can truli see the seamless edit guid by the refer to william ' diari entri , not onli is it well worth the watch but it is a terrificli written and perform piec . a master product about one of the great master 's of comedi and hi life . < br / > < br / > the realism realli come home with the littl thing : the fantasi of the guard which , rather than use the tradit 'dream ' techniqu remain solid then disappear . it play on our knowledg and our sens , particularli with the scene concern orton and halliwel and the set ( particularli of their flat with halliwel 's mural decor everi surfac ) are terribl well done .",0.9439,positive
"I thought this was a wonderful way to spend time on a too hot summer weekend, sitting in the air conditioned theater and watching a light-hearted comedy. The plot is simplistic, but the dialogue is witty and the characters are likable (even the well bread suspected serial killer). While some may be disappointed when they realize this is not Match Point 2: Risk Addiction, I thought it was proof that Woody Allen is still fully in control of the style many of us have grown to love.<br /><br />This was the most I'd laughed at one of Woody's comedies in years (dare I say a decade?). While I've never been impressed with Scarlet Johanson, in this she managed to tone down her ""sexy"" image and jumped right into a average, but spirited young woman.<br /><br />This may not be the crown jewel of his career, but it was wittier than ""Devil Wears Prada"" and more interesting than ""Superman"" a great comedy to go see with friends.",positive,"i thought thi wa a wonder way to spend time on a too hot summer weekend , sit in the air condit theater and watch a light-heart comedi . the plot is simplist , but the dialogu is witti and the charact are likabl ( even the well bread suspect serial killer ) . while some may be disappoint when they realiz thi is not match point 2 : risk addict , i thought it wa proof that woodi allen is still fulli in control of the style mani of us have grown to love. < br / > < br / > thi wa the most i 'd laugh at one of woodi 's comedi in year ( dare i say a decad ? ) . while i 've never been impress with scarlet johanson , in thi she manag to tone down her `` sexi '' imag and jump right into a averag , but spirit young woman. < br / > < br / > thi may not be the crown jewel of hi career , but it wa wittier than `` devil wear prada '' and more interest than `` superman '' a great comedi to go see with friend .",0.9345,positive
"Basically there's a family where a little boy (Jake) thinks there's a zombie in his closet & his parents are fighting all the time.<br /><br />This movie is slower than a soap opera... and suddenly, Jake decides to become Rambo and kill the zombie.<br /><br />OK, first of all when you're going to make a film you must Decide if its a thriller or a drama! As a drama the movie is watchable. Parents are divorcing & arguing like in real life. And then we have Jake with his closet which totally ruins all the film! I expected to see a BOOGEYMAN similar movie, and instead i watched a drama with some meaningless thriller spots.<br /><br />3 out of 10 just for the well playing parents & descent dialogs. As for the shots with Jake: just ignore them.",negative,"basic there 's a famili where a littl boy ( jake ) think there 's a zombi in hi closet & hi parent are fight all the time. < br / > < br / > thi movi is slower than a soap opera ... and suddenli , jake decid to becom rambo and kill the zombie. < br / > < br / > ok , first of all when you 're go to make a film you must decid if it a thriller or a drama ! as a drama the movi is watchabl . parent are divorc & argu like in real life . and then we have jake with hi closet which total ruin all the film ! i expect to see a boogeyman similar movi , and instead i watch a drama with some meaningless thriller spots. < br / > < br / > 3 out of 10 just for the well play parent & descent dialog . as for the shot with jake : just ignor them .",-0.7639,negative
"Petter Mattei's ""Love in the Time of Money"" is a visually stunning film to watch. Mr. Mattei offers us a vivid portrait about human relations. This is a movie that seems to be telling us what money, power and success do to people in the different situations we encounter. <br /><br />This being a variation on the Arthur Schnitzler's play about the same theme, the director transfers the action to the present time New York where all these different characters meet and connect. Each one is connected in one way, or another to the next person, but no one seems to know the previous point of contact. Stylishly, the film has a sophisticated luxurious look. We are taken to see how these people live and the world they live in their own habitat.<br /><br />The only thing one gets out of all these souls in the picture is the different stages of loneliness each one inhabits. A big city is not exactly the best place in which human relations find sincere fulfillment, as one discerns is the case with most of the people we encounter.<br /><br />The acting is good under Mr. Mattei's direction. Steve Buscemi, Rosario Dawson, Carol Kane, Michael Imperioli, Adrian Grenier, and the rest of the talented cast, make these characters come alive.<br /><br />We wish Mr. Mattei good luck and await anxiously for his next work.",positive,"petter mattei 's `` love in the time of money '' is a visual stun film to watch . mr. mattei offer us a vivid portrait about human relat . thi is a movi that seem to be tell us what money , power and success do to peopl in the differ situat we encount . < br / > < br / > thi be a variat on the arthur schnitzler 's play about the same theme , the director transfer the action to the present time new york where all these differ charact meet and connect . each one is connect in one way , or anoth to the next person , but no one seem to know the previou point of contact . stylishli , the film ha a sophist luxuri look . we are taken to see how these peopl live and the world they live in their own habitat. < br / > < br / > the onli thing one get out of all these soul in the pictur is the differ stage of loneli each one inhabit . a big citi is not exactli the best place in which human relat find sincer fulfil , as one discern is the case with most of the peopl we encounter. < br / > < br / > the act is good under mr. mattei 's direct . steve buscemi , rosario dawson , carol kane , michael imperioli , adrian grenier , and the rest of the talent cast , make these charact come alive. < br / > < br / > we wish mr. mattei good luck and await anxious for hi next work .",0.9714,positive
"Probably my all-time favorite movie, a story of selflessness, sacrifice and dedication to a noble cause, but it's not preachy or boring. It just never gets old, despite my having seen it some 15 or more times in the last 25 years. Paul Lukas' performance brings tears to my eyes, and Bette Davis, in one of her very few truly sympathetic roles, is a delight. The kids are, as grandma says, more like ""dressed-up midgets"" than children, but that only makes them more fun to watch. And the mother's slow awakening to what's happening in the world and under her own roof is believable and startling. If I had a dozen thumbs, they'd all be ""up"" for this movie.",positive,"probabl my all-tim favorit movi , a stori of selfless , sacrific and dedic to a nobl caus , but it 's not preachi or bore . it just never get old , despit my have seen it some 15 or more time in the last 25 year . paul luka ' perform bring tear to my eye , and bett davi , in one of her veri few truli sympathet role , is a delight . the kid are , as grandma say , more like `` dressed-up midget '' than children , but that onli make them more fun to watch . and the mother 's slow awaken to what 's happen in the world and under her own roof is believ and startl . if i had a dozen thumb , they 'd all be `` up '' for thi movi .",0.952,positive
"I sure would like to see a resurrection of a up dated Seahunt series with the tech they have today it would bring back the kid excitement in me.I grew up on black and white TV and Seahunt with Gunsmoke were my hero's every week.You have my vote for a comeback of a new sea hunt.We need a change of pace in TV and this would work for a world of under water adventure.Oh by the way thank you for an outlet like this to view many viewpoints about TV and the many movies.So any ole way I believe I've got what I wanna say.Would be nice to read some more plus points about sea hunt.If my rhymes would be 10 lines would you let me submit,or leave me out to be in doubt and have me to quit,If this is so then I must go so lets do it.",positive,"i sure would like to see a resurrect of a up date seahunt seri with the tech they have today it would bring back the kid excit in me.i grew up on black and white tv and seahunt with gunsmok were my hero 's everi week.you have my vote for a comeback of a new sea hunt.w need a chang of pace in tv and thi would work for a world of under water adventure.oh by the way thank you for an outlet like thi to view mani viewpoint about tv and the mani movies.so ani ole way i believ i 've got what i wan na say.would be nice to read some more plu point about sea hunt.if my rhyme would be 10 line would you let me submit , or leav me out to be in doubt and have me to quit , if thi is so then i must go so let do it .",0.9136,positive
"This show was an amazing, fresh & innovative idea in the 70's when it first aired. The first 7 or 8 years were brilliant, but things dropped off after that. By 1990, the show was not really funny anymore, and it's continued its decline further to the complete waste of time it is today.<br /><br />It's truly disgraceful how far this show has fallen. The writing is painfully bad, the performances are almost as bad - if not for the mildly entertaining respite of the guest-hosts, this show probably wouldn't still be on the air. I find it so hard to believe that the same creator that hand-selected the original cast also chose the band of hacks that followed. How can one recognize such brilliance and then see fit to replace it with such mediocrity? I felt I must give 2 stars out of respect for the original cast that made this show such a huge success. As it is now, the show is just awful. I can't believe it's still on the air.",negative,"thi show wa an amaz , fresh & innov idea in the 70 's when it first air . the first 7 or 8 year were brilliant , but thing drop off after that . by 1990 , the show wa not realli funni anymor , and it 's continu it declin further to the complet wast of time it is today. < br / > < br / > it 's truli disgrac how far thi show ha fallen . the write is pain bad , the perform are almost as bad - if not for the mildli entertain respit of the guest-host , thi show probabl would n't still be on the air . i find it so hard to believ that the same creator that hand-select the origin cast also chose the band of hack that follow . how can one recogn such brillianc and then see fit to replac it with such mediocr ? i felt i must give 2 star out of respect for the origin cast that made thi show such a huge success . as it is now , the show is just aw . i ca n't believ it 's still on the air .",0.3293,positive
"Encouraged by the positive comments about this film on here I was looking forward to watching this film. Bad mistake. I've seen 950+ films and this is truly one of the worst of them - it's awful in almost every way: editing, pacing, storyline, 'acting,' soundtrack (the film's only song - a lame country tune - is played no less than four times). The film looks cheap and nasty and is boring in the extreme. Rarely have I been so happy to see the end credits of a film. <br /><br />The only thing that prevents me giving this a 1-score is Harvey Keitel - while this is far from his best performance he at least seems to be making a bit of an effort. One for Keitel obsessives only.",negative,"encourag by the posit comment about thi film on here i wa look forward to watch thi film . bad mistak . i 've seen 950+ film and thi is truli one of the worst of them - it 's aw in almost everi way : edit , pace , storylin , 'act , ' soundtrack ( the film 's onli song - a lame countri tune - is play no less than four time ) . the film look cheap and nasti and is bore in the extrem . rare have i been so happi to see the end credit of a film . < br / > < br / > the onli thing that prevent me give thi a 1-score is harvey keitel - while thi is far from hi best perform he at least seem to be make a bit of an effort . one for keitel obsess onli .",-0.743,negative
"If you like original gut wrenching laughter you will like this movie. If you are young or old then you will love this movie, hell even my mom liked it.<br /><br />Great Camp!!!",positive,"if you like origin gut wrench laughter you will like thi movi . if you are young or old then you will love thi movi , hell even my mom like it. < br / > < br / > great camp ! ! !",0.9357,positive
